time;logger;level;message;exception
2011-12-07 21:28:41.6195;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3158310912
  PollingInterval     = 00:02:00";
2011-12-07 21:28:41.6625;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2011-12-07 21:28:43.4896;Raven.Database.DocumentDatabase;Debug;Delete a document with key: Raven/Backup/Status and etag ;
2011-12-07 21:28:43.5046;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found, and considered deleted;
2011-12-07 21:33:35.9384;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-12-07 21:33:35.9514;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -    41 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-12-07 21:33:35.9964;Raven.Database.Server.HttpServer;Debug;Request #   2: HEAD    -     1 ms - <default>  - 404 - /indexes/RavenCommitByDate;
2011-12-07 21:33:37.1294;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index RavenCommitByDate:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitByDate : AbstractViewGenerator
{
	public Index_RavenCommitByDate()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {CommitStamp = c.CommitStamp})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { CommitStamp = c.CommitStamp, __document_id = c.__document_id }));
		this.AddField(""CommitStamp"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitByDate : AbstractViewGenerator
{
	public Index_RavenCommitByDate()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {CommitStamp = c.CommitStamp})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { CommitStamp = c.CommitStamp, __document_id = c.__document_id }));
		this.AddField(""CommitStamp"");
		this.AddField(""__document_id"");
	}
}
";
2011-12-07 21:33:37.2304;Raven.Database.Indexing.IndexStorage;Info;Creating index RavenCommitByDate with encoded name RavenCommitByDate;
2011-12-07 21:33:37.4695;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for RavenCommitByDate;
2011-12-07 21:33:37.5175;Raven.Database.Server.HttpServer;Debug;Request #   3: PUT     - 1 249 ms - <default>  - 201 - /indexes/RavenCommitByDate;
2011-12-07 21:33:37.5535;Raven.Database.Server.HttpServer;Debug;Request #   4: HEAD    -     0 ms - <default>  - 404 - /indexes/RavenCommitByRevisionRange;
2011-12-07 21:33:37.7615;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index RavenCommitByRevisionRange:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitByRevisionRange : AbstractViewGenerator
{
	public Index_RavenCommitByRevisionRange()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {StreamId = c.StreamId, StartingStreamRevision = c.StartingStreamRevision, StreamRevision = c.StreamRevision})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { StreamId = c.StreamId, StartingStreamRevision = c.StartingStreamRevision, StreamRevision = c.StreamRevision, __document_id = c.__document_id }));
		this.AddField(""StreamId"");
		this.AddField(""StartingStreamRevision"");
		this.AddField(""StreamRevision"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitByRevisionRange : AbstractViewGenerator
{
	public Index_RavenCommitByRevisionRange()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {StreamId = c.StreamId, StartingStreamRevision = c.StartingStreamRevision, StreamRevision = c.StreamRevision})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { StreamId = c.StreamId, StartingStreamRevision = c.StartingStreamRevision, StreamRevision = c.StreamRevision, __document_id = c.__document_id }));
		this.AddField(""StreamId"");
		this.AddField(""StartingStreamRevision"");
		this.AddField(""StreamRevision"");
		this.AddField(""__document_id"");
	}
}
";
2011-12-07 21:33:37.7615;Raven.Database.Indexing.IndexStorage;Info;Creating index RavenCommitByRevisionRange with encoded name RavenCommitByRevisionRange;
2011-12-07 21:33:37.7615;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for RavenCommitByRevisionRange;
2011-12-07 21:33:37.7735;Raven.Database.Server.HttpServer;Debug;Request #   5: PUT     -   119 ms - <default>  - 201 - /indexes/RavenCommitByRevisionRange;
2011-12-07 21:33:37.7735;Raven.Database.Server.HttpServer;Debug;Request #   6: HEAD    -     0 ms - <default>  - 404 - /indexes/RavenCommitsByDispatched;
